Номер операции      Угол элевации       Угол курса
463                   32.8709               46.5242
464                   32.9215               47.3263
465                   32.9724               46.5242
466                   33.0234               45.722
467                   33.0234               45.722
468                   33.0745               46.5242
469                   33.0745               46.5242
470                   33.1257               45.722
471                   33.1771               46.5242
472                   33.2803               48.1285
473                   33.2803               48.1285
474                   33.3841               46.5242
475                   33.3841               46.5242
476                   33.4885               44.9199
477                   33.5409               45.722
478                   33.5934               46.5242
479                   33.5934               46.5242
480                   33.6461               45.722
481                   33.699               46.5242
482                   33.8051               44.9199
483                   33.8051               44.9199
484                   33.8583               45.722
485                   33.9118               46.5242
486                   33.9118               46.5242
487                   34.0191               48.1285
488                   34.0191               48.1285
489                   34.0729               47.3263
490                   34.0729               47.3263
491                   34.1269               46.5242
492                   34.1811               45.722
493                   34.2899               47.3263
494                   34.2899               47.3263
495                   34.3446               46.5242
496                   34.3993               45.722
497                   34.4543               46.5242
498                   34.5094               45.722
499                   34.5646               46.5242
500                   34.62               45.722
501                   34.6756               46.5242
502                   34.7313               45.722
503                   34.8432               47.3263
504                   34.8432               47.3263
505                   34.9557               45.722
506                   35.0122               46.5242
507                   35.0122               46.5242
508                   35.0689               45.722
509                   35.1257               46.5242
510                   35.1827               45.722
511                   35.2398               46.5242
512                   35.2398               46.5242
513                   35.2971               47.3263
514                   35.3546               46.5242
515                   35.4122               45.722
516                   35.47               46.5242
517                   35.5861               44.9199
518                   35.6444               45.722
519                   35.6444               45.722
520                   35.7028               46.5242
521                   35.7614               47.3263
522                   35.8202               46.5242
523                   35.8202               46.5242
524                   35.8792               47.3263
525                   35.9383               46.5242
526                   35.9976               45.722
527                   36.1167               47.3263
528                   36.1167               47.3263
529                   36.1765               46.5242
530                   36.2364               45.722
531                   36.2966               46.5242
532                   36.3569               45.722
533                   36.4781               47.3263
534                   36.4781               47.3263
535                   36.5999               45.722
536                   36.5999               45.722
537                   36.6611               46.5242
538                   36.7225               45.722
539                   36.8457               47.3263
540                   36.8457               47.3263
541                   36.9076               46.5242
542                   36.9076               46.5242
543                   36.9697               45.722
544                   37.0319               46.5242
